COMMAND     PID USER   FD      TYPE             DEVICE SIZE/OFF   NODE NAME
tuic-serv 11653 root   92u     IPv4             232217      0t0    TCP jp-n01.internal.cloudapp.net:58974->a23-47-146-16.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root   93u     IPv4             232348      0t0    TCP jp-n01.internal.cloudapp.net:50752->a23-47-146-16.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root   94u     IPv4             234022      0t0    TCP jp-n01.internal.cloudapp.net:45888->a23-32-13-159.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root   95u     IPv4             232919      0t0    TCP jp-n01.internal.cloudapp.net:43860->a23-32-13-159.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root   96u     IPv4             236165      0t0    TCP jp-n01.internal.cloudapp.net:56818->a23-32-13-159.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root   97u     IPv4             233761      0t0    TCP jp-n01.internal.cloudapp.net:38448->a23-32-13-159.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root   98u     IPv4             240016      0t0    TCP jp-n01.internal.cloudapp.net:35652->a104-71-141-50.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root   99u     IPv4             265113      0t0    TCP jp-n01.internal.cloudapp.net:50138->a104-71-141-50.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root  100u     IPv4             234334      0t0    TCP jp-n01.internal.cloudapp.net:44544->a23-32-13-159.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root  101u     IPv4             233211      0t0    TCP jp-n01.internal.cloudapp.net:43086->a23-32-13-159.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root  102u     IPv4             233288      0t0    TCP jp-n01.internal.cloudapp.net:44906->a23-32-13-159.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root  103u     IPv4             236177      0t0    TCP jp-n01.internal.cloudapp.net:39834->a23-32-13-159.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root  104u     IPv4             233477      0t0    TCP jp-n01.internal.cloudapp.net:47476->a23-32-13-159.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root  105u     IPv4             233432      0t0    TCP jp-n01.internal.cloudapp.net:35094->a23-32-13-159.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root  106u     IPv4             233505      0t0    TCP jp-n01.internal.cloudapp.net:52878->a23-32-13-159.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root  107u     IPv4             242759      0t0    TCP jp-n01.internal.cloudapp.net:47918->a104-71-141-50.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root  108u     IPv4             236403      0t0    TCP jp-n01.internal.cloudapp.net:36128->a23-32-13-159.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root  109u     IPv4             235617      0t0    TCP jp-n01.internal.cloudapp.net:48144->a23-32-13-159.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root  110u     IPv4             235392      0t0    TCP jp-n01.internal.cloudapp.net:38224->a23-32-13-159.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root  111u     IPv4             236231      0t0    TCP jp-n01.internal.cloudapp.net:59546->a23-32-13-159.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root  112u     IPv4             234652      0t0    TCP jp-n01.internal.cloudapp.net:47178->a23-32-13-159.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root  113u     IPv4             235789      0t0    TCP jp-n01.internal.cloudapp.net:36542->a23-32-13-159.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
tuic-serv 11653 root  114u     IPv4             238469      0t0    TCP jp-n01.internal.cloudapp.net:42196->a23-32-13-159.deploy.static.akamaitechnologies.com:https (ESTABLISHED)
